,Unit,File name,Offset (s),Offset (hh:mm:ss),UTC start (hh:mm:ss),UTC time slot,Week (first day),Cluster ID (0-9)
1980,unit06,20151027223604,12235, 3:23:55,06:00:00,06h - 08h,Oct 21,5
1981,unit06,20151027223604,19435, 5:23:55,08:00:00,08h - 10h,Oct 21,5
1982,unit06,20151027223604,26635, 7:23:55,10:00:00,10h - 12h,Oct 21,0
1985,unit06,20150913234804,  715, 0:11:55,04:00:00,22h - 06h,Sep 7,5
1986,unit06,20150913234804, 7915, 2:11:55,06:00:00,06h - 08h,Sep 7,5
1987,unit06,20150913234804,15115, 4:11:55,08:00:00,08h - 10h,Sep 7,5
1988,unit06,20150913234804,22315, 6:11:55,10:00:00,10h - 12h,Sep 7,5
1991,unit06,20151015225304, 4016, 1:06:56,04:00:00,22h - 06h,Oct 14,5
1992,unit06,20151015225304,11216, 3:06:56,06:00:00,06h - 08h,Oct 14,0
1993,unit06,20151015225304,18416, 5:06:56,08:00:00,08h - 10h,Oct 14,0
1994,unit06,20151015225304,25616, 7:06:56,10:00:00,10h - 12h,Oct 14,0
1996,unit06,20151016225203, 4077, 1:07:57,04:00:00,22h - 06h,Oct 14,5
1997,unit06,20151016225203,11277, 3:07:57,06:00:00,06h - 08h,Oct 14,0
1998,unit06,20151016225203,18477, 5:07:57,08:00:00,08h - 10h,Oct 14,5
1999,unit06,20151016225203,25677, 7:07:57,10:00:00,10h - 12h,Oct 14,5
2001,unit06,20151022224222, 4658, 1:17:38,04:00:00,22h - 06h,Oct 21,5
2002,unit06,20151022224222,11858, 3:17:38,06:00:00,06h - 08h,Oct 21,5
2003,unit06,20151022224222,19058, 5:17:38,08:00:00,08h - 10h,Oct 21,5
2004,unit06,20151022224222,26258, 7:17:38,10:00:00,10h - 12h,Oct 21,0
2007,unit06,20151014225504, 3895, 1:04:55,04:00:00,22h - 06h,Oct 7,5
2008,unit06,20151014225504,11095, 3:04:55,06:00:00,06h - 08h,Oct 14,5
2009,unit06,20151014225504,18295, 5:04:55,08:00:00,08h - 10h,Oct 14,5
2010,unit06,20151014225504,25495, 7:04:55,10:00:00,10h - 12h,Oct 14,5
2012,unit06,20151114221604, 6236, 1:43:56,05:00:00,22h - 06h,Nov 14,5
2013,unit06,20151114221604,13436, 3:43:56,07:00:00,06h - 08h,Nov 14,5
2014,unit06,20151114221604,20636, 5:43:56,09:00:00,08h - 10h,Nov 14,5
2015,unit06,20151114221604,27836, 7:43:56,11:00:00,10h - 12h,Nov 14,5
2018,unit06,20151029223304, 5215, 1:26:55,04:00:00,22h - 06h,Oct 21,4
2019,unit06,20151029223304,12415, 3:26:55,06:00:00,06h - 08h,Oct 21,5
2020,unit06,20151029223304,19615, 5:26:55,08:00:00,08h - 10h,Oct 21,5
2021,unit06,20151029223304,26815, 7:26:55,10:00:00,10h - 12h,Oct 21,5
2024,unit06,20150921233404, 1556, 0:25:56,04:00:00,22h - 06h,Sep 21,5
2025,unit06,20150921233404, 8756, 2:25:56,06:00:00,06h - 08h,Sep 21,5
2026,unit06,20150921233404,15956, 4:25:56,08:00:00,08h - 10h,Sep 21,5
2027,unit06,20150921233404,23156, 6:25:56,10:00:00,10h - 12h,Sep 21,5
2029,unit06,20151018224904, 4256, 1:10:56,04:00:00,22h - 06h,Oct 14,5
2030,unit06,20151018224904,11456, 3:10:56,06:00:00,06h - 08h,Oct 14,5
2031,unit06,20151018224904,18656, 5:10:56,08:00:00,08h - 10h,Oct 14,5
2032,unit06,20151018224904,25856, 7:10:56,10:00:00,10h - 12h,Oct 14,5
2035,unit06,20151004231104, 2935, 0:48:55,04:00:00,22h - 06h,Oct 1,5
2036,unit06,20151004231104,10135, 2:48:55,06:00:00,06h - 08h,Oct 1,5
2037,unit06,20151004231104,17335, 4:48:55,08:00:00,08h - 10h,Oct 1,5
2038,unit06,20151004231104,24535, 6:48:55,10:00:00,10h - 12h,Oct 1,5
2040,unit06,20151003231304, 2816, 0:46:56,04:00:00,22h - 06h,Oct 1,0
2041,unit06,20151003231304,10016, 2:46:56,06:00:00,06h - 08h,Oct 1,5
2042,unit06,20151003231304,17216, 4:46:56,08:00:00,08h - 10h,Oct 1,5
2043,unit06,20151003231304,24416, 6:46:56,10:00:00,10h - 12h,Oct 1,5
2045,unit06,20151023224104, 4735, 1:18:55,04:00:00,22h - 06h,Oct 21,5
2046,unit06,20151023224104,11935, 3:18:55,06:00:00,06h - 08h,Oct 21,5
2047,unit06,20151023224104,19135, 5:18:55,08:00:00,08h - 10h,Oct 21,5
2048,unit06,20151023224104,26335, 7:18:55,10:00:00,10h - 12h,Oct 21,5
2051,unit06,20151017225010, 4190, 1:09:50,04:00:00,22h - 06h,Oct 14,5
2052,unit06,20151017225010,11390, 3:09:50,06:00:00,06h - 08h,Oct 14,5
2053,unit06,20151017225010,18590, 5:09:50,08:00:00,08h - 10h,Oct 14,5
2054,unit06,20151017225010,25790, 7:09:50,10:00:00,10h - 12h,Oct 14,5
2057,unit06,20151121221104, 6535, 1:48:55,05:00:00,22h - 06h,Nov 14,0
2058,unit06,20151121221104,13735, 3:48:55,07:00:00,06h - 08h,Nov 21,0
2059,unit06,20151121221104,20935, 5:48:55,09:00:00,08h - 10h,Nov 21,0
2060,unit06,20151121221104,28135, 7:48:55,11:00:00,10h - 12h,Nov 21,4
2063,unit06,20151012225804, 3716, 1:01:56,04:00:00,22h - 06h,Oct 7,5
2064,unit06,20151012225804,10916, 3:01:56,06:00:00,06h - 08h,Oct 7,5
2065,unit06,20151012225804,18116, 5:01:56,08:00:00,08h - 10h,Oct 7,5
2066,unit06,20151012225804,25316, 7:01:56,10:00:00,10h - 12h,Oct 7,5
2068,unit06,20151124220904, 6656, 1:50:56,05:00:00,22h - 06h,Nov 21,5
2069,unit06,20151124220904,13856, 3:50:56,07:00:00,06h - 08h,Nov 21,5
2070,unit06,20151124220904,21056, 5:50:56,09:00:00,08h - 10h,Nov 21,5
2071,unit06,20151124220904,28256, 7:50:56,11:00:00,10h - 12h,Nov 21,5
2074,unit06,20151111221804, 6115, 1:41:55,05:00:00,22h - 06h,Nov 7,0
2075,unit06,20151111221804,13315, 3:41:55,07:00:00,06h - 08h,Nov 7,5
2076,unit06,20151111221804,20515, 5:41:55,09:00:00,08h - 10h,Nov 7,5
2077,unit06,20151111221804,27715, 7:41:55,11:00:00,10h - 12h,Nov 7,5
2080,unit06,20151013225604, 3835, 1:03:55,04:00:00,22h - 06h,Oct 7,5
2081,unit06,20151013225604,11035, 3:03:55,06:00:00,06h - 08h,Oct 7,5
2082,unit06,20151013225604,18235, 5:03:55,08:00:00,08h - 10h,Oct 7,5
2083,unit06,20151013225604,25435, 7:03:55,10:00:00,10h - 12h,Oct 7,5
2085,unit06,20150918233910, 1250, 0:20:50,04:00:00,22h - 06h,Sep 14,5
2086,unit06,20150918233910, 8450, 2:20:50,06:00:00,06h - 08h,Sep 14,5
2087,unit06,20150918233910,15650, 4:20:50,08:00:00,08h - 10h,Sep 14,5
2088,unit06,20150918233910,22850, 6:20:50,10:00:00,10h - 12h,Sep 14,5
2090,unit06,20151110221904, 6056, 1:40:56,05:00:00,22h - 06h,Nov 7,0
2091,unit06,20151110221904,13256, 3:40:56,07:00:00,06h - 08h,Nov 7,0
2092,unit06,20151110221904,20456, 5:40:56,09:00:00,08h - 10h,Nov 7,0
2093,unit06,20151110221904,27656, 7:40:56,11:00:00,10h - 12h,Nov 7,0
2096,unit06,20151006230804, 3116, 0:51:56,04:00:00,22h - 06h,Oct 1,5
2097,unit06,20151006230804,10316, 2:51:56,06:00:00,06h - 08h,Oct 1,5
2098,unit06,20151006230804,17516, 4:51:56,08:00:00,08h - 10h,Oct 1,5
2099,unit06,20151006230804,24716, 6:51:56,10:00:00,10h - 12h,Oct 1,5
2101,unit06,20151125220804, 6716, 1:51:56,05:00:00,22h - 06h,Nov 21,4
2102,unit06,20151125220804,13916, 3:51:56,07:00:00,06h - 08h,Nov 21,5
2103,unit06,20151125220804,21116, 5:51:56,09:00:00,08h - 10h,Nov 21,4
2104,unit06,20151125220804,28316, 7:51:56,11:00:00,10h - 12h,Nov 21,5
2107,unit06,20151001231604, 2636, 0:43:56,04:00:00,22h - 06h,Oct 1,5
2108,unit06,20151001231604, 9836, 2:43:56,06:00:00,06h - 08h,Oct 1,5
2109,unit06,20151001231604,17036, 4:43:56,08:00:00,08h - 10h,Oct 1,5
2110,unit06,20151001231604,24236, 6:43:56,10:00:00,10h - 12h,Oct 1,5
2112,unit06,20150916234304, 1016, 0:16:56,04:00:00,22h - 06h,Sep 14,5
2113,unit06,20150916234304, 8216, 2:16:56,06:00:00,06h - 08h,Sep 14,5
2114,unit06,20150916234304,15416, 4:16:56,08:00:00,08h - 10h,Sep 14,5
2115,unit06,20150916234304,22616, 6:16:56,10:00:00,10h - 12h,Sep 14,5
2117,unit06,20151028223405, 5154, 1:25:54,04:00:00,22h - 06h,Oct 21,5
2118,unit06,20151028223405,12354, 3:25:54,06:00:00,06h - 08h,Oct 21,5
2119,unit06,20151028223405,19554, 5:25:54,08:00:00,08h - 10h,Oct 21,0
2120,unit06,20151028223405,26754, 7:25:54,10:00:00,10h - 12h,Oct 21,5
2123,unit06,20151026223704, 4975, 1:22:55,04:00:00,22h - 06h,Oct 21,5
2124,unit06,20151026223704,12175, 3:22:55,06:00:00,06h - 08h,Oct 21,5
2125,unit06,20151026223704,19375, 5:22:55,08:00:00,08h - 10h,Oct 21,5
2126,unit06,20151026223704,26575, 7:22:55,10:00:00,10h - 12h,Oct 21,5
2129,unit06,20151127220803, 6717, 1:51:57,05:00:00,22h - 06h,Nov 21,5
2130,unit06,20151127220803,13917, 3:51:57,07:00:00,06h - 08h,Nov 21,5
2131,unit06,20151127220803,21117, 5:51:57,09:00:00,08h - 10h,Nov 21,0
2132,unit06,20151127220803,28317, 7:51:57,11:00:00,10h - 12h,Nov 21,0
2135,unit06,20151116221404, 6355, 1:45:55,05:00:00,22h - 06h,Nov 14,5
2136,unit06,20151116221404,13555, 3:45:55,07:00:00,06h - 08h,Nov 14,5
2137,unit06,20151116221404,20755, 5:45:55,09:00:00,08h - 10h,Nov 14,5
2138,unit06,20151116221404,27955, 7:45:55,11:00:00,10h - 12h,Nov 14,5
2141,unit06,20151120221104, 6535, 1:48:55,05:00:00,22h - 06h,Nov 14,5
2142,unit06,20151120221104,13735, 3:48:55,07:00:00,06h - 08h,Nov 14,5
2143,unit06,20151120221104,20935, 5:48:55,09:00:00,08h - 10h,Nov 14,5
2144,unit06,20151120221104,28135, 7:48:55,11:00:00,10h - 12h,Nov 14,5
2147,unit06,20151107034405,  954, 0:15:54,09:00:00,08h - 10h,Nov 1,5
2148,unit06,20151107034405, 8154, 2:15:54,11:00:00,10h - 12h,Nov 1,5
2150,unit06,20151002231503, 2697, 0:44:57,04:00:00,22h - 06h,Oct 1,5
2151,unit06,20151002231503, 9897, 2:44:57,06:00:00,06h - 08h,Oct 1,5
2152,unit06,20151002231503,17097, 4:44:57,08:00:00,08h - 10h,Oct 1,5
2153,unit06,20151002231503,24297, 6:44:57,10:00:00,10h - 12h,Oct 1,5
2155,unit06,20151025223804, 4916, 1:21:56,04:00:00,22h - 06h,Oct 21,5
2156,unit06,20151025223804,12116, 3:21:56,06:00:00,06h - 08h,Oct 21,5
2157,unit06,20151025223804,19316, 5:21:56,08:00:00,08h - 10h,Oct 21,5
2158,unit06,20151025223804,26516, 7:21:56,10:00:00,10h - 12h,Oct 21,5
2161,unit06,20151108222103, 5936, 1:38:56,05:00:00,22h - 06h,Nov 7,5
2162,unit06,20151108222103,13136, 3:38:56,07:00:00,06h - 08h,Nov 7,5
2163,unit06,20151108222103,20336, 5:38:56,09:00:00,08h - 10h,Nov 7,5
2164,unit06,20151108222103,27536, 7:38:56,11:00:00,10h - 12h,Nov 7,5
2167,unit06,20151122221004, 6595, 1:49:55,05:00:00,22h - 06h,Nov 21,5
2168,unit06,20151122221004,13795, 3:49:55,07:00:00,06h - 08h,Nov 21,5
2169,unit06,20151122221004,20995, 5:49:55,09:00:00,08h - 10h,Nov 21,5
2170,unit06,20151122221004,28195, 7:49:55,11:00:00,10h - 12h,Nov 21,5
2173,unit06,20151008230404, 3356, 0:55:56,04:00:00,22h - 06h,Oct 7,5
2174,unit06,20151008230404,10556, 2:55:56,06:00:00,06h - 08h,Oct 7,5
2175,unit06,20151008230404,17756, 4:55:56,08:00:00,08h - 10h,Oct 7,5
2176,unit06,20151008230404,24956, 6:55:56,10:00:00,10h - 12h,Oct 7,5
2178,unit06,20150930231804, 2515, 0:41:55,04:00:00,22h - 06h,Sep 21,0
2179,unit06,20150930231804, 9715, 2:41:55,06:00:00,06h - 08h,Oct 1,0
2180,unit06,20150930231804,16915, 4:41:55,08:00:00,08h - 10h,Oct 1,5
2181,unit06,20150930231804,24115, 6:41:55,10:00:00,10h - 12h,Oct 1,5
2183,unit06,20150918001504, 6296, 1:44:56,06:00:00,06h - 08h,Sep 14,8
2184,unit06,20150918001504,13496, 3:44:56,08:00:00,08h - 10h,Sep 14,5
2185,unit06,20150918001504,20696, 5:44:56,10:00:00,10h - 12h,Sep 14,5
2188,unit06,20151115221504, 6295, 1:44:55,05:00:00,22h - 06h,Nov 14,5
2189,unit06,20151115221504,13495, 3:44:55,07:00:00,06h - 08h,Nov 14,5
2190,unit06,20151115221504,20695, 5:44:55,09:00:00,08h - 10h,Nov 14,5
2191,unit06,20151115221504,27895, 7:44:55,11:00:00,10h - 12h,Nov 14,5
2194,unit06,20151009230304, 3415, 0:56:55,04:00:00,22h - 06h,Oct 7,0
2195,unit06,20151009230304,10615, 2:56:55,06:00:00,06h - 08h,Oct 7,0
2196,unit06,20151009230304,17815, 4:56:55,08:00:00,08h - 10h,Oct 7,5
2197,unit06,20151009230304,25015, 6:56:55,10:00:00,10h - 12h,Oct 7,5
2199,unit06,20151010230103, 3537, 0:58:57,04:00:00,22h - 06h,Oct 7,5
2200,unit06,20151010230103,10737, 2:58:57,06:00:00,06h - 08h,Oct 7,5
2201,unit06,20151010230103,17937, 4:58:57,08:00:00,08h - 10h,Oct 7,5
2202,unit06,20151010230103,25137, 6:58:57,10:00:00,10h - 12h,Oct 7,5
2204,unit06,20151123220905, 6655, 1:50:55,05:00:00,22h - 06h,Nov 21,5
2205,unit06,20151123220905,13855, 3:50:55,07:00:00,06h - 08h,Nov 21,5
2206,unit06,20151123220905,21055, 5:50:55,09:00:00,08h - 10h,Nov 21,5
2207,unit06,20151123220905,28255, 7:50:55,11:00:00,10h - 12h,Nov 21,5
2210,unit06,20151019224704, 4375, 1:12:55,04:00:00,22h - 06h,Oct 14,0
2211,unit06,20151019224704,11575, 3:12:55,06:00:00,06h - 08h,Oct 14,0
2212,unit06,20151019224704,18775, 5:12:55,08:00:00,08h - 10h,Oct 14,5
2213,unit06,20151019224704,25975, 7:12:55,10:00:00,10h - 12h,Oct 14,5
2216,unit06,20151005230905, 3055, 0:50:55,04:00:00,22h - 06h,Oct 1,5
2217,unit06,20151005230905,10255, 2:50:55,06:00:00,06h - 08h,Oct 1,5
2218,unit06,20151005230905,17455, 4:50:55,08:00:00,08h - 10h,Oct 1,5
2219,unit06,20151005230905,24655, 6:50:55,10:00:00,10h - 12h,Oct 1,5
2221,unit07,20150810201103, 6537, 1:48:57,02:00:00,22h - 06h,Aug 7,5
2222,unit07,20150810201103,13737, 3:48:57,04:00:00,22h - 06h,Aug 7,5
2223,unit07,20150810201103,20937, 5:48:57,06:00:00,06h - 08h,Aug 7,5
2224,unit07,20150810201103,28137, 7:48:57,08:00:00,08h - 10h,Aug 7,5
2225,unit07,20150810201103,35337, 9:48:57,10:00:00,10h - 12h,Aug 7,5
2226,unit07,20151027224212, 4668, 1:17:48,04:00:00,22h - 06h,Oct 21,4
2227,unit07,20151027224212,11868, 3:17:48,06:00:00,06h - 08h,Oct 21,4
2228,unit07,20151027224212,19068, 5:17:48,08:00:00,08h - 10h,Oct 21,4
2229,unit07,20151027224212,26268, 7:17:48,10:00:00,10h - 12h,Oct 21,0
2235,unit07,20151027224212,69468,19:17:48,22:00:00,22h - 06h,Oct 21,4
2236,unit07,20150905000502, 6898, 1:54:58,06:00:00,06h - 08h,Sep 1,2
2237,unit07,20150905000502,14098, 3:54:58,08:00:00,08h - 10h,Sep 1,2
2238,unit07,20150905000502,21298, 5:54:58,10:00:00,10h - 12h,Sep 1,2
2241,unit07,20150917234202, 1078, 0:17:58,04:00:00,22h - 06h,Sep 14,4
2242,unit07,20150917234202, 8278, 2:17:58,06:00:00,06h - 08h,Sep 14,4
2243,unit07,20150917234202,15478, 4:17:58,08:00:00,08h - 10h,Sep 14,4
2244,unit07,20150917234202,22678, 6:17:58,10:00:00,10h - 12h,Sep 14,4
2246,unit07,20151117221303, 6417, 1:46:57,05:00:00,22h - 06h,Nov 14,4
2247,unit07,20151117221303,13617, 3:46:57,07:00:00,06h - 08h,Nov 14,4
2248,unit07,20151117221303,20817, 5:46:57,09:00:00,08h - 10h,Nov 14,4
2249,unit07,20151117221303,28017, 7:46:57,11:00:00,10h - 12h,Nov 14,4
2252,unit07,20150928232202, 2278, 0:37:58,04:00:00,22h - 06h,Sep 21,0
2253,unit07,20150928232202, 9478, 2:37:58,06:00:00,06h - 08h,Sep 21,0
2254,unit07,20150928232202,16678, 4:37:58,08:00:00,08h - 10h,Sep 21,0
2255,unit07,20150928232202,23878, 6:37:58,10:00:00,10h - 12h,Sep 21,0
2257,unit07,20150829001703, 6177, 1:42:57,06:00:00,06h - 08h,Aug 21,4
2258,unit07,20150829001703,13377, 3:42:57,08:00:00,08h - 10h,Aug 21,4
2259,unit07,20150829001703,20577, 5:42:57,10:00:00,10h - 12h,Aug 21,4
2261,unit07,20150909235603,  237, 0:03:57,04:00:00,22h - 06h,Sep 7,0
2262,unit07,20150909235603, 7437, 2:03:57,06:00:00,06h - 08h,Sep 7,6
2263,unit07,20150909235603,14637, 4:03:57,08:00:00,08h - 10h,Sep 7,6
2264,unit07,20150909235603,21837, 6:03:57,10:00:00,10h - 12h,Sep 7,6
2266,unit07,20151023224102, 4738, 1:18:58,04:00:00,22h - 06h,Oct 21,4
2267,unit07,20151023224102,11938, 3:18:58,06:00:00,06h - 08h,Oct 21,4
2268,unit07,20151023224102,19138, 5:18:58,08:00:00,08h - 10h,Oct 21,4
2269,unit07,20151023224102,26338, 7:18:58,10:00:00,10h - 12h,Oct 21,4
2272,unit07,20151113221702, 6178, 1:42:58,05:00:00,22h - 06h,Nov 7,4
2273,unit07,20151113221702,13378, 3:42:58,07:00:00,06h - 08h,Nov 7,4
2274,unit07,20151113221702,20578, 5:42:58,09:00:00,08h - 10h,Nov 7,4
2275,unit07,20151113221702,27778, 7:42:58,11:00:00,10h - 12h,Nov 7,4
2278,unit07,20151028223503, 5097, 1:24:57,04:00:00,22h - 06h,Oct 21,0
2279,unit07,20151028223503,12297, 3:24:57,06:00:00,06h - 08h,Oct 21,0
2280,unit07,20151028223503,19497, 5:24:57,08:00:00,08h - 10h,Oct 21,0
2281,unit07,20151028223503,26697, 7:24:57,10:00:00,10h - 12h,Oct 21,4
2284,unit07,20151118221302, 6418, 1:46:58,05:00:00,22h - 06h,Nov 14,4
2285,unit07,20151118221302,13618, 3:46:58,07:00:00,06h - 08h,Nov 14,4
2286,unit07,20151118221302,20818, 5:46:58,09:00:00,08h - 10h,Nov 14,4
2287,unit07,20151118221302,28018, 7:46:58,11:00:00,10h - 12h,Nov 14,4
2290,unit07,20150902001002, 6598, 1:49:58,06:00:00,06h - 08h,Sep 1,6
2291,unit07,20150902001002,13798, 3:49:58,08:00:00,08h - 10h,Sep 1,3
2292,unit07,20150902001002,20998, 5:49:58,10:00:00,10h - 12h,Sep 1,3
2294,unit07,20151016225202, 4078, 1:07:58,04:00:00,22h - 06h,Oct 14,4
2295,unit07,20151016225202,11278, 3:07:58,06:00:00,06h - 08h,Oct 14,4
2296,unit07,20151016225202,18478, 5:07:58,08:00:00,08h - 10h,Oct 14,0
2297,unit07,20151016225202,25678, 7:07:58,10:00:00,10h - 12h,Oct 14,4
2299,unit07,20151110222003, 5997, 1:39:57,05:00:00,22h - 06h,Nov 7,0
2300,unit07,20151110222003,13197, 3:39:57,07:00:00,06h - 08h,Nov 7,0
2301,unit07,20151110222003,20397, 5:39:57,09:00:00,08h - 10h,Nov 7,0
2302,unit07,20151110222003,27597, 7:39:57,11:00:00,10h - 12h,Nov 7,0
2305,unit07,20151107222302, 5818, 1:36:58,05:00:00,22h - 06h,Nov 7,4
2306,unit07,20151107222302,13018, 3:36:58,07:00:00,06h - 08h,Nov 7,4
2307,unit07,20151107222302,20218, 5:36:58,09:00:00,08h - 10h,Nov 7,4
2308,unit07,20151107222302,27418, 7:36:58,11:00:00,10h - 12h,Nov 7,4
2311,unit07,20150916234302, 1018, 0:16:58,04:00:00,22h - 06h,Sep 14,4
2312,unit07,20150916234302, 8218, 2:16:58,06:00:00,06h - 08h,Sep 14,4
2313,unit07,20150916234302,15418, 4:16:58,08:00:00,08h - 10h,Sep 14,1
2314,unit07,20150916234302,22618, 6:16:58,10:00:00,10h - 12h,Sep 14,4
2316,unit07,20151102222802, 5518, 1:31:58,05:00:00,22h - 06h,Nov 1,4
2317,unit07,20151102222802,12718, 3:31:58,07:00:00,06h - 08h,Nov 1,4
2318,unit07,20151102222802,19918, 5:31:58,09:00:00,08h - 10h,Nov 1,4
2319,unit07,20151102222802,27118, 7:31:58,11:00:00,10h - 12h,Nov 1,4
2322,unit07,20151108222202, 5878, 1:37:58,05:00:00,22h - 06h,Nov 7,4
2323,unit07,20151108222202,13078, 3:37:58,07:00:00,06h - 08h,Nov 7,4
2324,unit07,20151108222202,20278, 5:37:58,09:00:00,08h - 10h,Nov 7,4
2325,unit07,20151108222202,27478, 7:37:58,11:00:00,10h - 12h,Nov 7,4
2328,unit07,20151031223102, 5338, 1:28:58,04:00:00,22h - 06h,Nov 1,4
2329,unit07,20151031223102,12538, 3:28:58,06:00:00,06h - 08h,Nov 1,4
2330,unit07,20151031223102,19738, 5:28:58,08:00:00,08h - 10h,Nov 1,4
2331,unit07,20151031223102,26938, 7:28:58,10:00:00,10h - 12h,Nov 1,0
2334,unit07,20150923233103, 1737, 0:28:57,04:00:00,22h - 06h,Sep 21,4
2335,unit07,20150923233103, 8937, 2:28:57,06:00:00,06h - 08h,Sep 21,4
2336,unit07,20150923233103,16137, 4:28:57,08:00:00,08h - 10h,Sep 21,4
2337,unit07,20150923233103,23337, 6:28:57,10:00:00,10h - 12h,Sep 21,4
2339,unit07,20151127220803, 6717, 1:51:57,05:00:00,22h - 06h,Nov 21,4
2340,unit07,20151127220803,13917, 3:51:57,07:00:00,06h - 08h,Nov 21,4
2341,unit07,20151127220803,21117, 5:51:57,09:00:00,08h - 10h,Nov 21,0
2342,unit07,20151127220803,28317, 7:51:57,11:00:00,10h - 12h,Nov 21,0
2345,unit07,20151112221802, 6118, 1:41:58,05:00:00,22h - 06h,Nov 7,4
2346,unit07,20151112221802,13318, 3:41:58,07:00:00,06h - 08h,Nov 7,4
2347,unit07,20151112221802,20518, 5:41:58,09:00:00,08h - 10h,Nov 7,4
2348,unit07,20151112221802,27718, 7:41:58,11:00:00,10h - 12h,Nov 7,4
2351,unit07,20150824002602, 5638, 1:33:58,06:00:00,06h - 08h,Aug 21,4
2352,unit07,20150824002602,12838, 3:33:58,08:00:00,08h - 10h,Aug 21,4
2353,unit07,20150824002602,20038, 5:33:58,10:00:00,10h - 12h,Aug 21,4
2355,unit07,20151013225702, 3778, 1:02:58,04:00:00,22h - 06h,Oct 7,4
2356,unit07,20151013225702,10978, 3:02:58,06:00:00,06h - 08h,Oct 7,4
2357,unit07,20151013225702,18178, 5:02:58,08:00:00,08h - 10h,Oct 7,4
2358,unit07,20151013225702,25378, 7:02:58,10:00:00,10h - 12h,Oct 7,4
2366,unit07,20151128220703, 6777, 1:52:57,05:00:00,22h - 06h,Nov 21,4
2367,unit07,20151128220703,13977, 3:52:57,07:00:00,06h - 08h,Nov 21,4
2368,unit07,20151128220703,21177, 5:52:57,09:00:00,08h - 10h,Nov 21,4
2369,unit07,20151128220703,28377, 7:52:57,11:00:00,10h - 12h,Nov 21,5
2372,unit07,20151018224902, 4258, 1:10:58,04:00:00,22h - 06h,Oct 14,4
2373,unit07,20151018224902,11458, 3:10:58,06:00:00,06h - 08h,Oct 14,4
2374,unit07,20151018224902,18658, 5:10:58,08:00:00,08h - 10h,Oct 14,4
2375,unit07,20151018224902,25858, 7:10:58,10:00:00,10h - 12h,Oct 14,4
2378,unit07,20151010230103, 3537, 0:58:57,04:00:00,22h - 06h,Oct 7,4
2379,unit07,20151010230103,10737, 2:58:57,06:00:00,06h - 08h,Oct 7,4
2380,unit07,20151010230103,17937, 4:58:57,08:00:00,08h - 10h,Oct 7,4
2381,unit07,20151010230103,25137, 6:58:57,10:00:00,10h - 12h,Oct 7,4
2383,unit07,20151119221202, 6478, 1:47:58,05:00:00,22h - 06h,Nov 14,4
2384,unit07,20151119221202,13678, 3:47:58,07:00:00,06h - 08h,Nov 14,4
2385,unit07,20151119221202,20878, 5:47:58,09:00:00,08h - 10h,Nov 14,4
2386,unit07,20151119221202,28078, 7:47:58,11:00:00,10h - 12h,Nov 14,4
2395,unit07,20150823002702, 5578, 1:32:58,06:00:00,06h - 08h,Aug 21,4
2396,unit07,20150823002702,12778, 3:32:58,08:00:00,08h - 10h,Aug 21,1
2397,unit07,20150823002702,19978, 5:32:58,10:00:00,10h - 12h,Aug 21,1
2399,unit07,20151005231003, 2996, 0:49:56,04:00:00,22h - 06h,Oct 1,4
2400,unit07,20151005231003,10196, 2:49:56,06:00:00,06h - 08h,Oct 1,4
2401,unit07,20151005231003,17396, 4:49:56,08:00:00,08h - 10h,Oct 1,4
2402,unit07,20151005231003,24596, 6:49:56,10:00:00,10h - 12h,Oct 1,4
2404,unit07,20151124220903, 6657, 1:50:57,05:00:00,22h - 06h,Nov 21,4
2405,unit07,20151124220903,13857, 3:50:57,07:00:00,06h - 08h,Nov 21,4
2406,unit07,20151124220903,21057, 5:50:57,09:00:00,08h - 10h,Nov 21,4
2407,unit07,20151124220903,28257, 7:50:57,11:00:00,10h - 12h,Nov 21,4
2410,unit07,20150920233603, 1436, 0:23:56,04:00:00,22h - 06h,Sep 14,4
2411,unit07,20150920233603, 8636, 2:23:56,06:00:00,06h - 08h,Sep 14,4
2412,unit07,20150920233603,15836, 4:23:56,08:00:00,08h - 10h,Sep 14,4
2413,unit07,20150920233603,23036, 6:23:56,10:00:00,10h - 12h,Sep 14,4
2415,unit07,20151006230803, 3117, 0:51:57,04:00:00,22h - 06h,Oct 1,4
2416,unit07,20151006230803,10317, 2:51:57,06:00:00,06h - 08h,Oct 1,4
2417,unit07,20151006230803,17517, 4:51:57,08:00:00,08h - 10h,Oct 1,7
2418,unit07,20151006230803,24717, 6:51:57,10:00:00,10h - 12h,Oct 1,4
2420,unit07,20150906000304, 7016, 1:56:56,06:00:00,06h - 08h,Sep 1,6
2421,unit07,20150906000304,14216, 3:56:56,08:00:00,08h - 10h,Sep 1,6
2422,unit07,20150906000304,21416, 5:56:56,10:00:00,10h - 12h,Sep 1,6
2425,unit07,20151030223202, 5278, 1:27:58,04:00:00,22h - 06h,Oct 21,4
2426,unit07,20151030223202,12478, 3:27:58,06:00:00,06h - 08h,Oct 21,4
2427,unit07,20151030223202,19678, 5:27:58,08:00:00,08h - 10h,Oct 21,4
2428,unit07,20151030223202,26878, 7:27:58,10:00:00,10h - 12h,Oct 21,4
2431,unit07,20151002231502, 2698, 0:44:58,04:00:00,22h - 06h,Oct 1,4
2432,unit07,20151002231502, 9898, 2:44:58,06:00:00,06h - 08h,Oct 1,4
